iter	Passed	Remaining
0	0	74
1	1	62
2	1	57
3	2	54
4	2	54
5	3	54
6	4	53
7	4	52
8	5	52
9	5	51
10	6	51
11	6	50
12	7	49
13	7	49
14	8	48
15	9	48
16	9	47
17	10	46
18	10	45
19	11	44
20	11	43
21	11	42
22	12	41
23	12	40
24	13	40
25	13	39
26	14	39
27	15	39
28	15	38
29	16	37
30	16	36
31	17	36
32	17	35
33	18	35
34	18	35
35	19	34
36	20	34
37	20	33
38	21	32
39	21	32
40	22	31
41	22	31
42	23	30
43	23	30
44	24	29
45	24	28
46	25	28
47	25	27
48	26	27
49	26	26
50	26	25
51	27	25
52	27	24
53	28	24
54	28	23
55	29	22
56	29	22
57	30	21
58	30	21
59	31	20
60	31	20
61	31	19
62	32	19
63	32	18
64	33	18
65	33	17
66	34	16
67	34	16
68	35	15
69	35	15
70	36	14
71	36	14
72	37	13
73	37	13
74	37	12
75	38	12
76	38	11
77	39	11
78	39	10
79	40	10
80	40	9
81	41	9
82	41	8
83	42	8
84	42	7
85	43	7
86	43	6
87	44	6
88	44	5
89	45	5
90	45	4
91	46	4
92	46	3
93	47	3
94	47	2
95	47	1
96	48	1
97	48	0
98	49	0
99	49	0
